名字#介绍#技能#属性
暗影萨满#罗斯塔出生于流血丘陵，这个当时正挨饿的年轻人结识了一个旅行中的骗子。只要给两枚铜钱，这个老骗子就会为你算命。给三个就会帮你阉猪，给五个还能帮你儿子做割礼。给一顿美餐，他就会穿上他的萨满装束，从他的古书里念出咒语，诅咒你的敌人。他身边那奇怪的年轻人，部分是丘陵巨魔血统，部分是...其它某些东西，作为他的助手，为他的把戏增添了一丝异国情调。总是在受骗的客人发现前开溜，总是甩开追捕他们的客人一座城镇的距离，两人艰苦跋涉穿越毁灭的大陆，直到有一天，骗子发现这个年轻人可以真的做出那些他一直假装在做的事情。他的守卫具有一种能力，一种会吸引客人的能力。于是年轻的罗斯塔就被推上了场，暗影萨满的艺名诞生了。两人继续在城镇之间旅行，用魔术赚钱的同时，暗影萨满的名声也越来越响亮。最终，两人行骗的过去暴露了，中了一群从前被他们诈骗的客人所设下的埋伏。老骗子被杀死了，罗斯塔第一次使用了他的黑暗力量，屠杀了攻击者。罗斯塔埋葬了他挚爱的主人，现在他用他的力量消灭任何企图伤害他的人。#妖术：将敌方单位变为动物，无法攻击和使用技能持续时间：4/6/8秒冷却时间：10秒#1,1,550,5,0,0,40,50,1.6,400,3,3,1100,5,0,0,80,100,1.6,400,9,5,2200,5,0,0,160,200,1.6,400
蝙蝠骑士#那些生活在荒狱丛林中的生物根本不知道什么叫和平共处。它们只知道用牙咬，用爪挠，用蛰刺，用蹄踩，即使稍微露怯也能让你立马死去。据说蝙蝠骑士在被外出觅食的食人蝠带走之前，只是一个普通农家的孩子，正在地里帮忙做农活。然而被带走后，他立刻想出了好点子，翻身骑上了抓住他的蝙蝠的后背，转眼间蝙蝠就成了他的工具。当他从那些血腥的尸骸中走出来时，他已经沉醉于战斗给他带来的兴奋和刺激，男孩终于意识到了自己内心深处的渴望。随着他的成长，每个夏天他都会回到家里的农田中，经常外出躲在草丛中，期望能够找回当年的血盆大口和致命的下坠给他带来的面对死亡的兴奋。时间一年年的过去，他的渴望变得愈发强烈。为了快速成长，他参加了每一次的远征，直到他找到了蝙蝠洞穴的路。据说在一个灼热仲夏的前夜，骑手只带了一捆绳索、一瓶壮胆酒以及灼热的决心，为了再次感受到天空，他只身跳入洞穴.#粘性燃油：粘性燃油浸透一块区域使蝙蝠骑士攻击/技能造成额外伤害50/75/100作用范围：375持续时间：20秒移动速度降低3%/5%/7%转身速率降低：70%冷却时间：3秒#1,1,500,5,0,0,40,55,1.3,400,3,3,1000,5,0,0,80,110,1.3,400,9,4,2000,5,0,0,160,220,1.3,400
敌法师#当山下的王国被潮水般的侵略者们横扫的时候，星隐寺的僧侣们只是在山上默默的注视着那崎岖的山谷。苦行且务实的他们在偏远高山的寺院里，独自沉浸在远离尘嚣的冥想中，不受任何魔法元素或者神灵的干扰。然而，死亡之神的军队来了，带着摧毁所有信仰，并让当地人转而信奉死亡之神的虚无主义。带着他们千年的战乱和血雨腥风，死亡军团将他们打败的敌人的灵魂和尸骨撕裂，用这种恐怖来摧毁星隐寺的信仰。面对此等攻击，寺院只坚持了不到两个星期，甚至还有一些刚从冥想中醒来的僧侣认为，这些入侵者不过是恶魔用来干扰他们冥想的幻象，于是他们死在了自己的冥想垫上。只有一个人幸免于难，他是来星隐寺寻求智慧，却尚未得到寺院认可的侍僧。他惊恐地看着自己曾经侍奉过的僧侣们被杀，然后又被复活成为死亡之神的祭司。带着星隐寺残存的珍贵教义卷轴，他艰难地到达了一个相对安全的地方，他发誓，不仅要消灭死亡之神的魔法师，更要将“魔法”这个词从世上抹去。#法力损毁：每次攻击损毁目标魔法值并额外造成损毁魔法值50%的伤害每次攻击损毁魔法：30/60/90#1200,1,500,5,10,0,45,55,1.2,205,3,3,1000,5,20,0,90,110,1.2,205,9,4,2000,5,30,0,180,220,1.2,205
发条技师#瑞托崔普和狙击手以及修补匠属于同一个分布广泛的种族，和其他许多敏感的族人一样，瑞托崔普用他的智慧和一些小玩意弥补了体型上的矮小。作为一个钟表匠的孙子，瑞托崔普在这个行业当了很多年的学徒，直到战争从山的另一边席卷而来，摧毁了这个从事着与战斗无关的行业的无辜村庄。祖先传下来的村庄变成了满是焦火和黑烟的废墟，“你的新行业是战斗”他的父亲临死前留下这样一句话。这个可怜的生意人责备他的工具无法用于战斗，但瑞托崔普从不找借口。在村庄的废墟中埋葬了父亲后，瑞托崔普开始着手将他自己转变为前所未见的最强大的战争道具。他发誓永远不再毫无防备的被抓住，瑞托崔普用他的智慧装配了一套强大的发条动力装甲，这使其它大陆的骑士在他面前就像易拉罐般渺小。现在瑞托崔普全身充满各种装置，小而强大的战士，他埋伏和破坏的技术已经达到了几乎自动化的高效水平。这个死亡工匠的机械可以迅速干掉不够谨慎的敌人，在这个战争时代宣告了新的曙光。是时候让你们见识见识发条技师的厉害了！#弹幕冲击：向附近敌方单位随机射出高能弹片，造成小幅魔法伤害和短暂眩晕作用范围：275持续时间：5秒间隔0.7秒伤害50/75/100#1,1,700,5,0,0,45,55,1.4,205,3,3,1400,7,0,0,90,110,1.4,205,9,4,2800,9,0,0,180,220,1.4,205
巨牙海民#那是场值得铭记的干架。当时号称“冰盾之惧”的巨牙海民尤弥尔，也叫钴蓝冰原的雪球大汉，他是唯一光明正大地打败刚背格斗家的战士，现在狼穴酒馆里只有他屹立不倒。原本是一场关于谁力气最大的酒吧小赌，结果那四名修士，一名铁匠还有六名来自霜寒军旅的一流士兵都被巨牙海民打得落花流水，酒馆里的桌椅瓶罐几乎都遭了秧。而他自鸣得意，端起酒杯一饮而尽。倒地的输家们刚头脑有点清醒，他们又开始叫嚣着再来赌一把。巨牙海民心想着何乐而不为，但是其他人回想刚才他赢的那场，实在想不出还能打什么赌。这时酒馆老板已经被店里毁坏的物品吓得面无人色，极力想避免让他们再打一架，他有了个主意。尤弥尔尽管身怀绝技，但是他从未在真正的战斗中大显身手，没有在你死我活的战争混沌中证明自己。老板跟战士打了个赌：尽力寻找规模最大的战斗，不论所在阵营，获胜凯旋。赌注是？下一轮的酒钱。#海象神拳：致命一击伤害300%/350%/400%滞空时间：1秒减速持续时间：2秒移动速度减缓：40%冷却时间：7秒#1,1,650,5,0,0,50,55,1.2,205,3,3,1300,5,0,0,100,110,1.2,205,9,4,2600,5,0,0,200,220,1.2,205
赏金猎人#关于赏金猎人刚铎，有很多真假难分的故事，唯一的共同点是，讲述这些故事的人都死了。在那些低语中，有的说他像工具一样被抛弃，为了生存而学习追踪术。另一种说法是他是战争中幸存的弃儿，被伟大的猎手索鲁克带走，并在阴暗的森林中教会他高超的猎人技巧。然而，另外一些人则相信他是贫民窟的捣蛋鬼，在一帮小偷扒手中混迹成人，擅长偷盗和误导。被刚铎追杀的人每次一提起他，恐惧就会剧增：他们说，那个追踪暴君伽夫多年，最后将其逼疯并杀死，割下其头颅拿走其权杖的人，就是刚铎。就是他，渗透进海西特反叛军营地，将传奇盗贼“白色海角”带回去接受审判。就是他，终结了猎手索鲁克的神话，让其为杀死王子的得力助手付出了代价。刚铎的传奇还在继续，每一个故事都比之前的更加不可思议，每一个猎物都比以前的更加难以捕杀。然而，只要出价够高，谁都无法躲开他；只要出价够高，即使是最强大的战士，想到刚铎，都会在阴影中颤抖。#投掷飞镖：对一个敌方单位投掷飞镖造成300/500/700伤害冷却时间：5秒#1,1,550,5,0,0,50,70,1,205,3,3,1100,5,0,0,100,140,1,205,9,4,2200,5,0,0,200,280,1,205
食人魔魔法师#普通食人魔的愚蠢正是一句俗话“蠢的像一袋石头一样”所形容的。在自然状况下，一只食人魔完全没有能力做任何事或下决定。他们不仅邋遢至极，有时一只食人魔还会发现自己吃完一头动物后居然被困在它的皮囊里。食人魔并非社会性生物，经常有人发现他们大岩石或者树桩亲昵的依偎在一起，显然是将这些东西错认成了他们的同类（这也许可以解释食人魔的低繁殖率）。然而，每一世代的食人魔中，都会诞生一只双头的食人魔魔法师，一出生就会立刻被授予传统名字：阿格隆·碎石者，这个名字属于它们种族历史上第一个以及或许是每一世代中唯一有智慧的食人魔。有两个脑袋的食人魔魔法师发现他可以比其他只有一个脑袋的生物更高效的行事。尽管食人魔魔法师无法赢得任何辩论（即使和它自己），但它天生就属于傻人有傻福，这命运中的意外收获让这个无法供养自己的种族在敌人的威胁和恶劣的天气下能繁荣起来。就好像是幸运女神对这个平均智商低下的种族的特别眷顾一样，她赐予了他们食人魔法师。她还能怎样呢？真是可怜的家伙们。#嗜血术：提升友军8%/10%/12%移速30/40/50攻击速度对食人魔魔法师提升30/50/70攻击速度冷却时间5秒持续时间30秒#1,1,700,5,0,0,55,65,1.4,205,3,3,1400,5,0,0,110,130,1.4,2052,9,5,2800,5,0,0,220,260,1.4,205
小小#以一团石头的形式出现的生命体，小小不断思索他的起源，但这始终是个谜。现在的他是个石巨人，但过去是什么呢？从土傀儡的脚后跟掉落的碎片？从制造石像鬼的工房被打扫出来的碎屑？神圣预言石的表层之砂？受到强烈的好奇心驱使，他不知疲倦的环游世界，寻找着他的起源，他的出身，和他的种族。在旅途中，他变得越来越庞大，不过路上的风雨吹打掉了他身上的石头，所以他不停的吸收新的岩石，永远在长大。#投掷：将身边的一个敌人抛起，落到离他3格以外的靠近敌人的一个最远的空格子，或者落到到离他最远的一个空格子，对落地点周围的敌人造成伤害并眩晕。伤害半径：200伤害：100/200/300眩晕时间:1.5/2/2.5秒冷却时间:10/8/6秒#1,1,650,5,0,0,60,100,1.9,205,3,3,1300,5,0,0,120,200,1.9,205,9,5,2600,5,0,0,240,400,1.9,205
修补匠#修补匠鲍什的矮小种族以他们独有的智慧、狡猾以及敌视魔法而闻名。出于自傲，他们完全凭借自己的智慧生存，只通过理性的科学方法来合理利用自然的力量。然而，即使是对魔法如此严令禁止，也给他们带来了很多麻烦，这一点鲍什深有体会。作为曾经的自然法则首席研究员，修补匠鲍什在传说中薄雾缭绕的紫罗兰高原建立了一座地下实验室，在那里领导了大量对自然运作规律的研究。出于对魔法师们给世界带来的伤害的鄙夷，鲍什和他的修补匠助手带着高傲，打开了一扇传送门，门的另一端是一个超越了凡人认知能力的国度，于是他们自食恶果。黑色的薄雾从紫罗兰高原的洞穴内升起，将高原覆盖在不断散发出恐怖声音的永恒黑暗中。机智的鲍什带着他的机关装置逃了出来，成了紫罗兰高原事故中唯一生还的修补匠。#热导飞弹：发射三枚火箭追踪轰炸随机的敌方棋子每发伤害200/300/400冷却时间：8/6/4秒#1,1,500,5,0,0,40,50,1.1,600,3,3,1000,5,0,0,80,100,1.1,600,9,5,2000,5,0,0,160,200,1.1,600
卓尔游侠#卓尔游侠名叫崔希丝，这个名字很适合矮小、有点像侏儒、令人生厌的卓尔人。但崔希丝并不是卓尔人。她的双亲在坐大篷车旅行时受到土匪的袭击，滥杀无辜的土匪激怒了附近爱好和平的卓尔人。战斗结束后，卓尔人发现了一个藏在马车残骸中的小女孩，他们一致同意不能让这个失去父母的孩子被抛弃。还是孩童时，崔希丝就展现出了她对那些卓尔人引以为傲的技术的天赋：隐秘、沉默、敏锐。如果不看身体，在精神上她就像一个被拐走后又回到自己真正家中的卓尔人孩童。但随着她的成长，她的个头比她的家人高了不少，她因此认为自己是个丑陋的卓尔人。即使她皮肤光滑且长的匀称，完全没有卓尔人的肉疣和粗糙的髯须。与收养她的部族疏远后，她独自居住在森林中。许多在森林中寻路的旅行者都说他们见过一个美丽得难以置信的游侠在树林深处凝视他们，而当他们试图接近时，她又消失的无影无踪。轻盈、隐秘的冷美人，她像无声的迷雾般移动。你听到的森林低语，其实是她命中敌人心脏的霜冻箭矢的破空之声。#射手天赋：同步增加自己的远程攻击力和攻击速度增加攻击力和攻击速度：20/30/40#1,1,400,5,0,0,45,50,1.3,600,3,3,800,5,0,0,90,100,1.3,600,9,5,1600,5,0,0,180,200,1.3,600
